epoch,train_loss,train_acc,val_loss,val_acc
1,0.5098332407009217,74.28728549824399,0.4673132281194427,76.97287839020123
2,0.46620767803293206,77.17563834972691,0.4454853609482299,78.72265966754156
3,0.4546623282124104,77.9955256152279,0.43782126695028883,78.9384660250802
4,0.447983747871488,78.33547887165514,0.43186565830525175,79.36424613589968
5,0.44034575637138695,78.87165514741723,0.4350308659416971,79.33508311461067
6,0.4377971954183373,79.1241204334404,0.42677388666892674,79.60921551472732
7,0.43579250979342476,79.14161802752122,0.42095092183618404,79.9358413531642
8,0.4330279582936724,79.29534688980266,0.4191272178136591,80.11665208515602
9,0.4302886836148815,79.47782179950256,0.4186912240432714,80.38495188101487
10,0.4282619179284375,79.62905100548674,0.4141922473712866,80.40828229804607
11,0.4283291761564317,79.57405856694704,0.4143003559490638,80.18081073199184
12,0.42825269218779305,79.55656097286624,0.4110049229087447,80.44327792359289
13,0.42842563194195,79.7452850233093,0.4117298265641083,80.78740157480316
14,0.42526339043071093,80.03774481008861,0.41336962352715323,80.5365995917177
15,0.42809328613841896,79.71403931959355,0.4118062997264649,80.5249343832021
16,0.4265326116978228,79.71653897589081,0.4107424813781434,80.65325167687372
17,0.42584625589706926,79.89026508855032,0.41132340202135825,80.45494313210848
18,0.42508781626388514,79.95650598042769,0.4141318959726104,80.4724409448819
19,0.4252699295286416,79.93275924560373,0.41167527317667185,80.83989501312335
20,0.42449287176608946,79.96900426191398,0.4091450970536515,80.61825605132692
